magasin_id,product_id,category,subcategory,sub_sub_category,product name,price/um,price,nutri-score,Valeur énergétique en kJ,Valeur énergétique en kCal,Matières grasses,Dont acides gras saturés,Dont acides gras mono-insaturés,Glucides,Dont sucres,Protéines,Fibres alimentaires,Sel,Sodium
1,49295,Fruits et légumes,Fruits frais,Fruits de saison,Pomme fuji,,0.96,,,,,,,,,,,,
1,102092,Fruits et légumes,Fruits frais,Fruits de saison,Pomme granny,,1.2,,,,,,,,,,,,
1,50014,Fruits et légumes,Fruits frais,Fruits de saison,Poire Rochas,,1.04,,,,,,,,,,,,
1,49297,Fruits et légumes,Fruits frais,Fruits de saison,Pomme canada grise,,1.26,,,,,,,,,,,,
1,115044,Fruits et légumes,Fruits frais,Fruits de saison,Poire comice,,2.55,,,,,,,,,,,,
1,982534,Fruits et légumes,Fruits et légumes bio,Fruits bio,Pomme bio barquette 4 fruits,,2.99,,,,,,,,,,,,
1,2942070,Fruits et légumes,Fruits et légumes bio,Fruits bio,Banane bio 5 fruits,,2.49,,,,,,,,,,,,
1,960490,Fruits et légumes,Fruits et légumes bio,Fruits bio,Pomme bio golden barquette 4 fruits,,2.99,,,,,,,,,,,,
1,2776470,Fruits et légumes,Fruits et légumes bio,Fruits bio,CLEMENTINE NULES BIO FILET 1KG,,3.99,,,,,,,,,,,,
1,3060654,Fruits et légumes,Fruits et légumes bio,Fruits bio,ORANGE A DEGUSTER BIO FILET 1 KG,,3.49,,,,,,,,,,,,
1,2360265,Fruits et légumes,Fruits et légumes bio,Fruits bio,Citron primofiori bio filet 1kg,,2.99,,,,,,,,,,,,
1,3081570,Fruits et légumes,Fruits et légumes bio,Fruits bio,KIWI JAUNE BIO BARQUETTE 3 FRUITS,,3.99,,,,,,,,,,,,
1,3062565,Fruits et légumes,Fruits et légumes bio,Fruits bio,Pomme candine bio sachet 1.5 kg,,3.99,,,,,,,,,,,,
1,3018477,Fruits et légumes,Fruits et légumes bio,Fruits bio,Pomme crunch bio sachet 1.5kg,,4.49,,,,,,,,,,,,
1,937480,Fruits et légumes,Fruits et légumes bio,Fruits bio,Citron jaune bio 4 fruits,,2.49,,,,,,,,,,,,
1,15896,Fruits et légumes,Fruits et légumes bio,Légumes bio,Pomme de terre bio cora 1.5 kg,,3.99,,,,,,,,,,,,
1,2784444,Fruits et légumes,Fruits et légumes bio,Légumes bio,Courgette bio filet 500g,,2.99,,,,,,,,,,,,
1,1091575,Fruits et légumes,Fruits et légumes bio,Légumes bio,Betterave entiere cuite bio 500 g,,1.69,,,,,,,,,,,,
1,1035874,Fruits et légumes,Fruits et légumes bio,Légumes bio,Betterave cuite bio rouge sachet 225g,,1.59,,,,,,,,,,,,
1,90620,Fruits et légumes,Fruits et légumes bio,Légumes bio,Royal saveur échalote traditionnel bio filet 250g,,2.49,,,,,,,,,,,,
1,1022743,Fruits et légumes,Fruits et légumes bio,Légumes bio,Mais bio doux barquette 2 épis,,3.89,,,,,,,,,,,,
1,2563452,Fruits et légumes,Fruits et légumes bio,Légumes bio,ECHALOTE LONGUE BIO 250G,,1.99,,,,,,,,,,,,
1,2450733,Fruits et légumes,Fruits et légumes bio,Légumes bio,Oignon rouge bio filet 500g,,2.49,,,,,,,,,,,,
1,2784231,Fruits et légumes,Fruits et légumes bio,Légumes bio,CAROTTE BIO SACHET 1.5 KG,,3.99,,,,,,,,,,,,
1,2565135,Fruits et légumes,Fruits et légumes bio,Légumes bio,Lentilles vertes bio sachet 500 g,,3.99,,,,,,,,,,,,
1,45785,Fruits et légumes,Fruits frais,Fruits de saison,Banane Cavendish,,1.19,,,,,,,,,,,,
1,15873,Fruits et légumes,Fruits frais,Fruits de saison,Citron jaune cora 4 fruits,,1.49,,,,,,,,,,,,
1,18003,Fruits et légumes,Fruits frais,Fruits de saison,Orange à déguster cora 2kg,,3.99,,,,,,,,,,,,
1,15866,Fruits et légumes,Fruits frais,Fruits de saison,Cora orange à jus 2kg,,1.99,,,,,,,,,,,,
1,15890,Fruits et légumes,Fruits frais,Fruits de saison,Cora Kido petits agrumes 1kg,,3.49,,,,,,,,,,,,
1,15892,Fruits et légumes,Fruits frais,Fruits de saison,"Cora pomme golden AOP limousin en panier de bois 1,5 kg",,3.99,,,,,,,,,,,,
1,23568,Fruits et légumes,Fruits frais,Fruits de saison,Cora pomme golden du Limousin face rosée barquette de 4 fruits,,3.69,,,,,,,,,,,,
1,15884,Fruits et légumes,Fruits frais,Fruits de saison,Cora orange sachet 1kg,,3.49,,,,,,,,,,,,
1,49293,Fruits et légumes,Fruits frais,Fruits de saison,Pomme pink lady,,0.9,,,,,,,,,,,,
1,49291,Fruits et légumes,Fruits frais,Fruits de saison,Pomme Royal Gala,,0.54,,,,,,,,,,,,
1,68309,Fruits et légumes,Fruits frais,Fruits de saison,Kiwi gold,,1.19,,,,,,,,,,,,
1,25981,Fruits et légumes,Fruits frais,Fruits de saison,Kiwi vert vrac,,0.89,,,,,,,,,,,,
1,2603271,Fruits et légumes,Fruits frais,Fruits de saison,Citron jaune,,0.7,,,,,,,,,,,,
1,49361,Fruits et légumes,Fruits frais,Fruits de saison,Pomme golden le kilo,,1.29,,,,,,,,,,,,
1,25982,Fruits et légumes,Fruits frais,Fruits de saison,Pomelos,,0.99,,,,,,,,,,,,
1,301759,Fruits et légumes,Fruits frais,Fruits de saison,Citron vert VRAC,,0.45,,,,,,,,,,,,
1,90020,Fruits et légumes,Fruits frais,Fruits de saison,Clémentine corse feuille vrac,,1.8,,,,,,,,,,,,
1,2600880,Fruits et légumes,Fruits frais,Fruits de saison,Poire Conférence,,1.44,,,,,,,,,,,,
1,1127341,Fruits et légumes,Fruits frais,Fruits de saison,Clementine fine de Corse,,4.99,,,,,,,,,,,,
1,944929,Fruits et légumes,Fruits frais,Fruits de saison,Orange à déguster,,1.5,,,,,,,,,,,,
1,2822511,Fruits et légumes,Fruits frais,Fruits de saison,Clémentine maroc,,0.67,,,,,,,,,,,,
1,548401,Fruits et légumes,Fruits frais,Fruits de saison,Mandarine Clémenvilla,,1.17,,,,,,,,,,,,
1,49295,Fruits et légumes,Fruits frais,Fruits de saison,Pomme fuji,,0.96,,,,,,,,,,,,
1,102092,Fruits et légumes,Fruits frais,Fruits de saison,Pomme granny,,1.2,,,,,,,,,,,,
1,50014,Fruits et légumes,Fruits frais,Fruits de saison,Poire Rochas,,1.04,,,,,,,,,,,,
1,49297,Fruits et légumes,Fruits frais,Fruits de saison,Pomme canada grise,,1.26,,,,,,,,,,,,
1,115044,Fruits et légumes,Fruits frais,Fruits de saison,Poire comice,,2.55,,,,,,,,,,,,
1,982534,Fruits et légumes,Fruits et légumes bio,Fruits bio,Pomme bio barquette 4 fruits,,2.99,,,,,,,,,,,,
1,2942070,Fruits et légumes,Fruits et légumes bio,Fruits bio,Banane bio 5 fruits,,2.49,,,,,,,,,,,,
1,960490,Fruits et légumes,Fruits et légumes bio,Fruits bio,Pomme bio golden barquette 4 fruits,,2.99,,,,,,,,,,,,
1,2776470,Fruits et légumes,Fruits et légumes bio,Fruits bio,CLEMENTINE NULES BIO FILET 1KG,,3.99,,,,,,,,,,,,
1,3060654,Fruits et légumes,Fruits et légumes bio,Fruits bio,ORANGE A DEGUSTER BIO FILET 1 KG,,3.49,,,,,,,,,,,,
1,2360265,Fruits et légumes,Fruits et légumes bio,Fruits bio,Citron primofiori bio filet 1kg,,2.99,,,,,,,,,,,,
1,3081570,Fruits et légumes,Fruits et légumes bio,Fruits bio,KIWI JAUNE BIO BARQUETTE 3 FRUITS,,3.99,,,,,,,,,,,,
1,3062565,Fruits et légumes,Fruits et légumes bio,Fruits bio,Pomme candine bio sachet 1.5 kg,,3.99,,,,,,,,,,,,
1,3018477,Fruits et légumes,Fruits et légumes bio,Fruits bio,Pomme crunch bio sachet 1.5kg,,4.49,,,,,,,,,,,,
1,937480,Fruits et légumes,Fruits et légumes bio,Fruits bio,Citron jaune bio 4 fruits,,2.49,,,,,,,,,,,,
1,15896,Fruits et légumes,Fruits et légumes bio,Légumes bio,Pomme de terre bio cora 1.5 kg,,3.99,,,,,,,,,,,,
1,2784444,Fruits et légumes,Fruits et légumes bio,Légumes bio,Courgette bio filet 500g,,2.99,,,,,,,,,,,,
1,1091575,Fruits et légumes,Fruits et légumes bio,Légumes bio,Betterave entiere cuite bio 500 g,,1.69,,,,,,,,,,,,
1,1035874,Fruits et légumes,Fruits et légumes bio,Légumes bio,Betterave cuite bio rouge sachet 225g,,1.59,,,,,,,,,,,,
1,90620,Fruits et légumes,Fruits et légumes bio,Légumes bio,Royal saveur échalote traditionnel bio filet 250g,,2.49,,,,,,,,,,,,
1,1022743,Fruits et légumes,Fruits et légumes bio,Légumes bio,Mais bio doux barquette 2 épis,,3.89,,,,,,,,,,,,
1,2563452,Fruits et légumes,Fruits et légumes bio,Légumes bio,ECHALOTE LONGUE BIO 250G,,1.99,,,,,,,,,,,,
1,2450733,Fruits et légumes,Fruits et légumes bio,Légumes bio,Oignon rouge bio filet 500g,,2.49,,,,,,,,,,,,
1,2784231,Fruits et légumes,Fruits et légumes bio,Légumes bio,CAROTTE BIO SACHET 1.5 KG,,3.99,,,,,,,,,,,,
1,2565135,Fruits et légumes,Fruits et légumes bio,Légumes bio,Lentilles vertes bio sachet 500 g,,3.99,,,,,,,,,,,,
1,45785,Fruits et légumes,Fruits frais,Fruits de saison,Banane Cavendish,,1.19,,,,,,,,,,,,
1,15873,Fruits et légumes,Fruits frais,Fruits de saison,Citron jaune cora 4 fruits,,1.49,,,,,,,,,,,,
1,18003,Fruits et légumes,Fruits frais,Fruits de saison,Orange à déguster cora 2kg,,3.99,,,,,,,,,,,,
1,15866,Fruits et légumes,Fruits frais,Fruits de saison,Cora orange à jus 2kg,,1.99,,,,,,,,,,,,
1,15890,Fruits et légumes,Fruits frais,Fruits de saison,Cora Kido petits agrumes 1kg,,3.49,,,,,,,,,,,,
1,15892,Fruits et légumes,Fruits frais,Fruits de saison,"Cora pomme golden AOP limousin en panier de bois 1,5 kg",,3.99,,,,,,,,,,,,
1,23568,Fruits et légumes,Fruits frais,Fruits de saison,Cora pomme golden du Limousin face rosée barquette de 4 fruits,,3.69,,,,,,,,,,,,
1,15884,Fruits et légumes,Fruits frais,Fruits de saison,Cora orange sachet 1kg,,3.49,,,,,,,,,,,,
1,49293,Fruits et légumes,Fruits frais,Fruits de saison,Pomme pink lady,,0.9,,,,,,,,,,,,
1,49291,Fruits et légumes,Fruits frais,Fruits de saison,Pomme Royal Gala,,0.54,,,,,,,,,,,,
1,68309,Fruits et légumes,Fruits frais,Fruits de saison,Kiwi gold,,1.19,,,,,,,,,,,,
1,25981,Fruits et légumes,Fruits frais,Fruits de saison,Kiwi vert vrac,,0.89,,,,,,,,,,,,
1,2603271,Fruits et légumes,Fruits frais,Fruits de saison,Citron jaune,,0.7,,,,,,,,,,,,
1,49361,Fruits et légumes,Fruits frais,Fruits de saison,Pomme golden le kilo,,1.29,,,,,,,,,,,,
1,25982,Fruits et légumes,Fruits frais,Fruits de saison,Pomelos,,0.99,,,,,,,,,,,,
1,301759,Fruits et légumes,Fruits frais,Fruits de saison,Citron vert VRAC,,0.45,,,,,,,,,,,,
1,90020,Fruits et légumes,Fruits frais,Fruits de saison,Clémentine corse feuille vrac,,1.8,,,,,,,,,,,,
1,2600880,Fruits et légumes,Fruits frais,Fruits de saison,Poire Conférence,,1.44,,,,,,,,,,,,
1,1127341,Fruits et légumes,Fruits frais,Fruits de saison,Clementine fine de Corse,,4.99,,,,,,,,,,,,
1,944929,Fruits et légumes,Fruits frais,Fruits de saison,Orange à déguster,,1.5,,,,,,,,,,,,
1,2822511,Fruits et légumes,Fruits frais,Fruits de saison,Clémentine maroc,,0.45,,,,,,,,,,,,
1,982534,Fruits et légumes,Fruits et légumes bio,Fruits bio,Pomme bio barquette 4 fruits,,2.99,,,,,,,,,,,,
1,2942070,Fruits et légumes,Fruits et légumes bio,Fruits bio,Banane bio 5 fruits,,2.49,,,,,,,,,,,,
1,960490,Fruits et légumes,Fruits et légumes bio,Fruits bio,Pomme bio golden barquette 4 fruits,,2.99,,,,,,,,,,,,
1,2776470,Fruits et légumes,Fruits et légumes bio,Fruits bio,CLEMENTINE NULES BIO FILET 1KG,,3.99,,,,,,,,,,,,
1,3060654,Fruits et légumes,Fruits et légumes bio,Fruits bio,ORANGE A DEGUSTER BIO FILET 1 KG,,3.49,,,,,,,,,,,,
1,2360265,Fruits et légumes,Fruits et légumes bio,Fruits bio,Citron primofiori bio filet 1kg,,2.99,,,,,,,,,,,,
1,3081570,Fruits et légumes,Fruits et légumes bio,Fruits bio,KIWI JAUNE BIO BARQUETTE 3 FRUITS,,3.99,,,,,,,,,,,,
1,3062565,Fruits et légumes,Fruits et légumes bio,Fruits bio,Pomme candine bio sachet 1.5 kg,,3.99,,,,,,,,,,,,
1,3018477,Fruits et légumes,Fruits et légumes bio,Fruits bio,Pomme crunch bio sachet 1.5kg,,4.49,,,,,,,,,,,,
1,937480,Fruits et légumes,Fruits et légumes bio,Fruits bio,Citron jaune bio 4 fruits,,2.49,,,,,,,,,,,,
1,15896,Fruits et légumes,Fruits et légumes bio,Légumes bio,Pomme de terre bio cora 1.5 kg,,3.99,,,,,,,,,,,,
1,2784444,Fruits et légumes,Fruits et légumes bio,Légumes bio,Courgette bio filet 500g,,2.99,,,,,,,,,,,,
1,1091575,Fruits et légumes,Fruits et légumes bio,Légumes bio,Betterave entiere cuite bio 500 g,,1.69,,,,,,,,,,,,
1,1035874,Fruits et légumes,Fruits et légumes bio,Légumes bio,Betterave cuite bio rouge sachet 225g,,1.59,,,,,,,,,,,,
1,90620,Fruits et légumes,Fruits et légumes bio,Légumes bio,Royal saveur échalote traditionnel bio filet 250g,,2.49,,,,,,,,,,,,
1,1022743,Fruits et légumes,Fruits et légumes bio,Légumes bio,Mais bio doux barquette 2 épis,,3.89,,,,,,,,,,,,
1,2563452,Fruits et légumes,Fruits et légumes bio,Légumes bio,ECHALOTE LONGUE BIO 250G,,1.99,,,,,,,,,,,,
1,2450733,Fruits et légumes,Fruits et légumes bio,Légumes bio,Oignon rouge bio filet 500g,,2.49,,,,,,,,,,,,
